study_id,author_year,title,study_design,ending_year,world_region,world_subregion,country,city_state,focus,overall_cytology,pap_method,recruitment_setting,hpv_types_reported,hpv_types_tested,hpv_cat,hpv_test,test_details,num_older_wom,num_hpv_pos,num_hpv_neg,any_prev,risk_of_bias,Notes
33OH,"Chansaeroj et al., 2010","Prevalence and Genotypes of Human Papillomavirus among
Thai Women",cross-sectional ,2009,Asia,Southeastern asia,Thailand,Bangkok,Both ,Predominantly normal ,LBC,clinical setting ,"Overall, HR-HPV","6, 11, 16, 18, 30, 31, 32, 34, 35, 39, 42, 51, 52, 53, 55, 56, 59, 66, 68, 70, 71, 74, 81, 82, 90, 91",II,PCR L1 or E1,"E1 gene sequence used
for HPV DNA and genotype detection",487,33,454,0.068,high,"Table 1 for HPV+ data by age available 51-60, 60+; age group information is presented 50-59, 60-69, 70-79, 80+"
34OHG,"Chen et al., 2015","Prevalence and Genotype Distribution of Cervical Human Papillomavirus (HPV) Among Women in Urban Tianjin, China",cross-sectional ,2013,Asia,Eastern Asia,China,Tianjin,Both,Predominantly normal ,LBC,screening ,"overall, HR-HPV, 16, 18, 58, 66","16, 18, 31, 33,
35, 39, 45, 51, 52, 56, 58, 59, 66, 68, 69, 53, 70, 6, 11, 42, 43, 44, 62, 81, 61, 84, 54, 67, 69, 90",II,MY09/11 and GP5+/GP6+,some results were obtained by DNA sequence alignment using BLAST,747,110,637,0.147,low,Table 2 for information on age-specific prevalence of HPV+ and HR-HPV+; figure 3 for common HR-HPV types by age group
35O,"Chong et al., 2010","High Prevalence of Human Papillomavirus DNA Detected in Cervical Swabs from Women in Southern Selangor, Malaysia",cross-sectional ,2007,Asia,Southeastern asia,Malaysia,Southern Selangor,Both,Predominantly normal ,LBC,screening,Overall,"16, 18, 33, 31, 58, 87 ",I,MY09/11 and GP5+/GP6+,"Nested PCR was performed using a combination
of MY09/MY11 as outer primers and GP5+/GP6+ as
inner primers which targeted the L1 gene of the viral
genome.",23,9,14,0.391,low,Table1 for information on age-specfic prevalence of only overall HPV+
36O,"Coser et al., 2013",Prevalence and genotypic diversity of cervical human papillomavirus infection among women from an urban center in Brazil,cross-sectional ,2010,Americas,South America,Brazil,Rio Grande do Sul,Both,Predominantly normal ,conventional ,screening ,overall ,"16, 18, 26, 30, 31, 33, 34, 35, 39, 45, 51,
52, 53, 56, 58, 59, 66, 67, 68, 69, 70, 73, 82, 6, 11, 13, 32, 42, 43, 44, 54, 55, 61,
71, 72, 74, 81, 83, 84 ",II,MY09/MY11 ,Nested PCR was performed as well as MY09/MY11 ,98,24,74,0.245,high,Table 3 for HPV data breakdown by age and overall HPV prevalence
37OH,"Dai et al., 2006","Human papillomavirus infection in Shanxi Province, People’s Republic of China: a population-based study",cross-sectional ,2004,Asia,Eastern Asia,China,Shanxi,Both,Predominantly normal ,LBC,general population,"overall, HR-HPV","6,
11, 16, 18, 26, 30, 31, 32, 33, 34, 35, 39, 40, 42, 43, 44, 45, 51, 52, 53,
54, 55, 56, 57, 58, 59, 61, 64, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84, 86",II,GP5+/GP6+,"Subsequent
HPV typing was performed by reverse line blot hybridisation of
PCR products",91,13,78,0.143,low,Table 2 for age specific HPV prevalence
38OH,"DeVuyst et al., 2003","Distribution of Human Papillomavirus in a Family Planning Population in Nairobi, Kenya",cross-sectional ,2000,Africa,Eastern Africa,Kenya,Nairobi,Both,Predominantly normal ,conventional,clinical setting ,"overall, HR-HPV","6, 11, 16, 18, 31, 33, 34, 35, 39, 40, 42, 43, 44, 45, 51, 52, 53, 54, 56, 58, 59, 66, 68, 70, 74",II,other PCR,"Broad-spectrum HPV DNA amplification was performed
with the short PCR fragment (SPF10) primer set; genotyped with the
INNO-LiPA HPV prototype research assay",12,3,9,0.25,high,Figure 1 for overall and HR-HPV+ by age group extracted with plotdigitizer
39OG,"Debrah et al., 2021","Prevalence of vaccine and non‑vaccine
human papillomavirus types among women
in Accra and Kumasi, Ghana: a cross‑sectional
study",cross-sectional ,2015,Africa,Western Africa,Ghana,"Accra, Kumasi",Both ,Predominantly normal ,conventional,clinical setting ,overall,"6/11, 42, 43 and 44, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59",II,PCR E6/E7,"nested multiplex PCR assay that combines degenerate E6/E7 consensus primers
and type-specific primers for the detection and typing of eighteen HPV genotypes",7,2,5,0.286,high,"No HPV prevalence by age group is reported, in the paper however supplementary materieals include a table S1 with overal HRHPV and genotypic prevalance by age"
40OHG,"Demers et al., 2012","Distribution of human papillomavirus types, cervical cancer screening history, and risk factors for infection in Manitoba",cross-sectional ,2008,Americas,North America,Canada,Manitoba,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16/18","16, 18, 26, 30, 31, 33, 35,
39, 45, 51, 52, 53, 56, 58, 59, 66, 67, 68,
69, 70, 73, 82, 85, 6, 11, 13, 32,
40, 42, 43, 44, 54, 61, 62, 71, 72, 74, 81,
83, 84, 86, 87, 89, 90, 91",III,PGMY09/11 and GP5+/GP6+,"The DNA was
amplified with a nested polymerase chain
reaction (PCR) method using the general
PGMY primer set for the first round and the GP5+/GP6+ primer set for the second; 45 types of HPV was measured using cloned HPV DNAs.
Comparison against the LinearArray
(Roche)",213,20,193,0.094,low,"
TABLE 2
Age distribution of women by infection status and HPV type. Data is also presented by standard age groups 50-54, 55-59, 60-64, 65+"
41OHG,"Dufit et al., 2016","THE EPIDEMIOLOGY OF HUMAN PAPILLOMA VIRUS IN WOMEN AGED 20-65 YEARS LIVING IN REMOTE VILLAGES
IN FRENCH GUIANA: ADAPTING INTERVENTIONS TO THE TERRITORY",cross-sectional ,2014,Americas,South America,French Guiana,NA,Both ,Predominantly normal ,LBC,general population,"overall, HR-HPV+, 52, 15, 68, 31, 58, 18, 56, 51, 39, 45, 35, 33, 59","16, 18, 31, 33, 35, 39, 45, 51,
52, 56, 58, 59, 68 53, 66, 70, 73, 82, 44/55, 42, 6. 40, 43, 11",II,other PCR,detection of viral DNA using the Greiner Bio One® kit,91,40,51,0.44,high,"Table 2, proportion of women 20-65 with HPV+ (overall and HR). Specific HR Genotypes by age group table 3"
43OP,"Dutra et al., 2008","Characterisation of human papillomavirus (HPV) genotypes in the
Azorean population, Terceira island",cross-sectional ,2007,Europe,Southern Europe,Portugal,Terceira Island,Both ,Predominantly normal ,LBC,clinical setting ,overall,"6, 11, 16, 18, 26, 31, 33, 35, 39, 40, 42,
43, 44, 45, 51, 52, 53, 54, 56, 58, 59, 61, 62, 66, 68, 70,
71, 72, 73, 81, 82, 83, 84, 85, 89",II,PGMY09/11,"HPV DNA
was amplified by Polymerase Chain Reaction using the general consensus primers PGMY09/
PGMY11. Commercially available Papillomavirus Clinical Arrays® kits (Genomica) were used to
perform HPV genotyping",NA,NA,NA,0.109,high,% prevalence of overall HPV by age group reported in Figure 1 however the N for each age group was not provided
44O,"Eren et al., 2010","Prevalence of HPV infection by cytologic diagnosis and HPV DNA extraction and
prevalence of the HPV genotypes detected in urban Turkish women",cross-sectional ,2008,Asia,Western Asia,Turkiye,Istanbul,Both,Predominantly normal ,conventional,clinical setting ,overall,"6, 11, 16, 18, 26, 31, 33, 35, 39, 40, 42, 43, 44, 45, 51, 52, 53,
54, 56, 58, 59, 61, 62, 66, 68, 70, 71, 72, 73, 81, 82, 83, 84, 85, 89",II,PCR L1 or E1,"microarray that identifies 35 types; Clinical Arrays
Papillomavirus kit (Genomica, Madrid, Spain (CLART); L1 region of the virus were first
amplified by polymerase chain reaction (PCR)",6,0,6,0.07,low,"the text reports the 50+N as 6, and % prevalence of HPV as 7% which would 0.42 subjects infected "
45OHG,"Foliaki et al., 2014",Prevalence of HPV infection and other risk factors in a Fijian population,cross-sectional ,2010,Oceania,Melanesia,Fiji,Suva,Both,Predominantly normal ,NA,general population,"overall, HR-HPV, 16/18","16, 18, 31, 33, 34, 35, 39, 45, 51, 52, 56, 58, 59, 68, 6, 11, 26, 30, 32, 40, 42, 43, 44, 53, 54, 55, 61, 64, 66, 67, 69, 70, 72, 73, 81, 82, 83, 84, 85, 86, 97",III,GP5+/6+,GP5+/6+mediatedpolymerase chain reaction (PCR) assay,70,13,57,0.186,high,"Figure 1 for overall and HR-HPV+, 16/18 type by age group extracted with plotdigitizer"
46OH,"Gravitt et al., 2013","A Cohort Effect of the Sexual Revolution
May Be Masking an Increase in Human
Papillomavirus Detection at Menopause in the
United States",prospective,2011,Americas ,North America,USA,"Baltimore, Maryland",Both,Predominantly normal ,NA,screening,"Overall, HR-HPV","6, 11, 16 18, 26, 31, 33, 35, 39, 40, 42, 45, 51, 52, 53, 54, 55, 56, 58, 59, 61, 62, 64, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84",II,LA,"DNA was extracted using the QIAamp DNA Blood Kit
(Qiagen, France) and tested for the presence of genotypespecific
HPV, using the Roche HPV Linear Array polymerase
chain reaction–based assay",300,46,254,0.153,low,"Table 1 for N of age groups, Table 2 for overall and HRHPV prevalence by age group"
47OHG,"Hamlin-Douglas et al., 2008","Prevalence and Age Distribution of Human
Papillomavirus Infection in a Population
of Inuit Women in Nunavik, Quebec",prospective,2007,Americas,North America,Canada,"Nunavik, Quebec",Both,Predominantly normal ,conventional,screening ,"overall, HR-HPV, 16/18","6, 11, 16, 18, 26, 31, 33, 35, 39, 40, 42, 45, 51,
52, 53, 54, 55, 56, 58, 59, 66, 68, 73, 82, 83, 84, 61, 62, 64, 67, 69, 70, 71, 72, 81, 89
",II,PGMY09/11,"HPV-DNA was detected on h-globin by PCR amplification
using PGMY09-PGMY11 primers and qualitycontrolled
Line blot assay (Roche Diagnostics),",121,24,97,0.198,low,"Age-specific prevalence of any HPV-DNA 16.9% in ages 50-59 y, and 28.1% in ages 60-69 y"
48OH,"Hernandez-Rosas et al., 2021","Prevalence and correlation of human papillomavirus genotypes
with clinical factors in cervical samples from Mexican women",cross-sectional ,2017,Americas,Central America,Mexico,Sonora,Both,Predominantly normal ,conventional,screening ,"overall, HR-HPV","16, 18, 31,
33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 67, 68, 73, 82, 6, 11, 34, 42, 70, 81",II,other PCR,"DNA HPV detection was performed using MALDITOF
mass spectrometry (Agena, bioscience, San Diego,
CA).",313,19,294,0.061,low," table 2 for age distribution N,  but figure 3 has overall and HR- HPV  % prevalence (used plot digitizer )"
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,conventional,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82","2, 6, 11, 13, 16, 18, 26, 31, 32, 33, 34, 35, 39, 40, 42, 43, 44, 
45, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 64, 66, 67, 68, 69, 70, 71, 72, 73, 74, 81, 82, 83, 84, 85, 89",III,MY09/11,"MY09/M11 L1 consensus
primer PCR",1603,456,1147,0.284,low,"Table 2 for prevalence by age group, overall, HR-HPV, and all HR subtypes"
50OH,"Hong et al., 2015","Prevalence and genotype distribution of HPV infection among women in
Ningbo, China",cross-sectional ,2012,Asia,Eastern Asia,China ,Ningbo,Both,Predominantly normal ,LBC,clinical setting ,"overall, HR-HPV","16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58,
59, 66, 68, 73, 82, 83, 6, 11,
42, 43, 44",II,other PCR,"HPV DNA extraction, PCR amplification,
hybridization, and gene chip analysis on a gene chip reading meter
(Yaneng Biotechnology Limited Corp, Shenzhen",212,30,182,0.142,low,"Table 3 for HPV prevalence by age (overall and HR-HPV), age group 50-64"
51OHG,"Hooi et al., 2018","Human papillomavirus (HPV) prevalence and
associated risk factors in women from
CuracËao",cross-sectional ,NA,Americas,Caribbean,Curaçao,NA,Both,Predominantly normal ,conventional,general population,"overall, HR-HPV, 16/18","16,18, 31, 33, 35, 39,45, 51, 52, 56, 58, 59, 26, 53,73, 82, 66, 68, 5, 6 11, 30, 67, 7",II,GP5+/6+,"GP5+/6+PCR EIA and GP 5+/6+amplimers from HPVpositive
samples were genotyped with a reverse hybridisation assay",305,52,253,0.17,low,"Table 2 for prevalence by age group, overall, and all subtypes; Figure 1 for HRHPV and HPV 16/18"
52OHG,"Jiang et al., 2011","Type-specific prevalence of Human Papillomavirus infection among women in the Northwest Territories, Canada",cross-sectional ,2009,Americas,North America,Canada,Northwest Territories,Both ,Predominantly normal ,LBC,screening ,"overall, HR-HPV, 16/18","16, 18, 26, 30, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 67, 68, 69, 70, 73, 82, 85, 6, 11, 13, 32, 40, 42, 43, 44, 54, 61, 62, 71, 72,
74, 81, 83, 84, 86, 87, 89, 90, 91",III,PGMY09/11 and GP5+/GP6+,"Luminex assay; The DNA was amplified with a
nested PCR method using the general PGMY primer
set for the first round [16] and the GP5+/GP6+
primer set for the second round ",913,135,778,0.148,low,"Table 2: Comparing HPV prevalence among Aboriginal and non Aborignal groups, is it okay to add up the totals since we are not interested in the ethnic group difference. YES"
53OH,"Shen et al., 2021","Human papillomavirus infection rate,
distribution characteristics, and risk of age
in pre‑ and postmenopausal women",cross-sectional ,2019,Asia,Eastern Asia,China,Wuhan,Both,Predominantly normal ,LBC,clinical setting ,"overall, HR-HPV","16,18, 26, 31, 33, 35, 39, 51, 52, 53, 56, 58, 59, 66, 68, 
82, 6, 11, 40, 42, 43, 44, 55, 61, 81, 83, 73",II,other PCR,Luminex 200,153,21,132,0.137,high,Table 3 for HPV data breakdown by age and overall HPV prevalence as well as HR HPV
54OH,"Xiao et al, 2016","Analysis of Human Papillomavirus Infection in 16,320 Patients From a Gynecology Clinic in Central South China",retrospective,2013,Asia,Eastern Asia,China,Central South,Both,Predominantly normal ,NA,screening ,"overall, HR-HPV","16, 18, 31, 33, 35,
39, 45, 51, 52, 53, 56, 58, 59, 66, 68, 6, 11, 42, 43, 44",II,other PCR,"""Flow-through hybridization technology was applied to test
21 HPV subtypes""",1871,647,1224,0.346,,Table 2 for HPV data breakdown by age and overall HPV prevalence as well as HR HPV
56OHGP,"Kjaer et al., 2008","Population-based prevalence, type- and age-specific distribution of HPV in
women before introduction of an HPV-vaccination program in Denmark",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening ,"overall, HR-HPV, 16/18","16, 18, 31, 33, 35, 39, 45, 51,
52, 53, 56, 58, 59, 66, 68, 6, 11, 40, 42, 43, 44, 54, 70, 74",II,HC2,"HC2, INNO-LiPA
v2 HPV prototype assay",NA,NA,NA,0.082,low,"N is not provided for the age groups but overall prevalence is provided  by age group (50-54, 55-59, 60-64, 65+) from which a crude overall prevalence is calculated by added up all the prevalence rates, divide the sum by the total number of groups (N) to calculate the crude overall prevalence."
57OHG,"Klug et al., 2007",Prevalence of Human Papillomavirus Types in Women Screened by Cytology in Germany,cross-sectional ,2000,Europe,Western Europe,Germany,Southern and Northern Germany,Both,Predominantly normal ,LBC,screening ,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66","16, 18, 31, 33, 34, 35, 39, 45, 51, 52, 56, 58, 59, 66, 11, 42, 53, 54, 55, 61, 62, 64, 66, 67, 68, 70, 72, 73, 82, 83, 84",II,PGMY09/11,"PGMY09/11 PCR followed by reverse line
blot assay",1735,44,1691,0.025,low,"Table 1 for population breakdown by age group, table 3 for HPV, HR HPV and 16, 18 +"
58OHG,"Kobetz et al., 2012","Burden of Human Papillomavirus among Haitian Immigrants in Miami, Florida: Community-Based Participatory Research in Action",cross-sectional ,2008,Americas,North America,USA,"Little Haiti, Miami",Both ,Predominantly normal ,LBC,general population,"overall, HR-HPV, 16/18","16, 18, 31, 33, 35, 45, 52, 53, 66, 68, 82, 61, 62, 83, 11, 72, 84, 42, 44",II,PCR L1 or E1,"PCR amplification of HPV products used degenerate
primers specific for the consensus regions of the L1 gene in
the HPV genome.",54,10,44,0.185,high,"Figure 2 for age specific prevalence of HPV by overall point prevalence, HR and types 16/18"
59OHG,"Lee et al., 2012","Prevalence and Distribution of Human Papillomavirus Infection
in Korean Women as Determined by Restriction Fragment Mass
Polymorphism Assay",cross-sectional ,2011,Asia,Eastern Asia,South Korea,Seoul,Both,Predominantly normal ,LBC,screening ,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, and 68","6, 11, 16, 18, 26, 30, 31,
33, 34, 35, 39, 40, 42, 43, 44, 45, 51, 52, 53, 54, 55, 56, 58, 59, 61, 62, 66, 68, 70, 72, 73, 74, 81, 82, 83, 84, 89, 90",II,PGMY09/11,"DNA were amplified
with PGMY09/11 primers, MALDI-TOF",18910,6199,12711,0.328,low,Table 1 for overall HPV prevalence by age
60OHG,"Leinonen et al., 2013","Type- and age-specific distribution of human
papillomavirus in women attending cervical
cancer screening in Finland",cross-sectional ,2005,Europe,Northern Europe,Finland,NA,Both,Predominantly normal ,LBC,screening ,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, and 68","6, 11, 16, 18, 26, 30, 31, 33, 35, 39, 40, 42, 43, 45, 51, 52, 53,
54, 56, 58, 59, 61, 66, 67, 68, 69, 70, 73, 74, 81, 82, 83, 86,
87, 89, 90, 91, 114",II,HC2,"Luminex assay included probes for HPV
types",14663,713,13950,0.049,low,Table 2 for data on HPV prevalence by age group for both overall and HR-HPV+
61OH,"Levert et al., 2000",Human papillomavirus typing in routine cytological screening: results of an investigation on 3778 patients,cross-sectional ,1997,Europe,Western Europe,France,NA,Both ,Predominantly normal ,LBC,screening ,"Overall, HR-HPV","16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68, 6, 11, 42, 43, 44",II,HC2,HC2,653,97,556,0.149,low,Table 1 HPV prevalence by age group
