study_id,author_year,title,study_design,ending_year,world_region,world_subregion,country,city_state,focus,overall_cytology,pap_method,recruitment_setting,hpv_types_reported,hpv_types_tested,hr_hpv_nr,hr_hpv_cat,hpv_test,test_details,num_older_wom,num_hr_hpv_pos,hr_prev,risk_of_bias,Comments
60OHG,"Leinonen et al., 2013","Type- and age-specific distribution of human
papillomavirus in women attending cervical
cancer screening in Finland",cross-sectional ,2005,Europe,Northern Europe,Finland,NA,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68","6, 11, 16, 18, 26, 30, 31, 33, 35, 39, 40, 42, 43, 45, 51, 52, 53,
54, 56, 58, 59, 61, 66, 67, 68, 69, 70, 73, 74, 81, 82, 83, 86,
87, 89, 90, 91, 114",13,III,HC2,"HC2, Luminex assay included probes for HPV
types",14663,321,0.022,low,Table 2 for data on HPV prevalence by age group for both overall and HR-HPV+
61OH,"Levert et al., 2000",Human papillomavirus typing in routine cytological screening: results of an investigation on 3778 patients,cross-sectional ,1997,Europe,Western Europe,France,NA,Both ,Predominantly normal ,LBC,screening,"Overall, HR-HPV","16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68, 6, 11, 42, 43, 44",13,III,HC2,HC2,653,65,0.1,low,Table 1 HR-HPV prevalence by age group
53HG,"Li et al., 2020","Prevalence and Genotype Distribution of High-Risk Human Papillomavirus
among Chinese Women in Sichuan Province",retrospective,2017,Asia,Eastern Asia,China,Sichuan,Both,Predominantly normal ,LBC,clinical setting,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82","16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82",15,III,other PCR,"HPV DNA was detected
and genotyped by real-time polymerase chain reaction
(Zhejiang Bio-Tech Corporation, Shanghai, China)",276,80,0.29,low,Table 2 HPV prevalence by age group
62OH,"Li et al., 2019","Prevalence and distribution of cervical human papillomavirus (HPV) genotypes in women with cytological results from Sichuan Province, China",cross-sectional ,2017,Asia ,Eastern Asia,China ,Sichuan,Both ,Predominantly normal ,LBC,clinical setting,"overall, HR-HPV","16, 18, 31, 33, 52, 58, 56, 68, 66, 35, 39, 45, 51, 67, 59, 53, 73, 6, 11, 54, 55, 57, 40, 42, 43, 44",17,III,other PCR,"HPV Geno Array test kit (Genetel Pharmaceuticals Co., Ltd. Shenzhen, China)",742,174,0.235,high,Table 3 HR-HPV prevalence by age group
54HG,"Li et al., 2006","Human papillomavirus infection in Shenyang City, People’s Republic of China: a population-based study",cross-sectional ,2005,Asia,Eastern Asia,China,Shenyang,Both,Predominantly normal ,LBC,general population," HR-HPV, 16/18","6, 11, 16, 18, 26, 30, 31, 32, 33, 34, 35, 39, 40, 42, 43, 44, 45, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 64, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84, 85, 86, 89 ",14,III,GP5+/GP6+,"GP5+/6+ PCR-based
enzyme immunoassay; reverse line blot hybridisation of PCR products",93,5,0.053,low,Figure 3 HR-HPV prevalance and 16/18 prevalence by age group
55H,"Li et al., 2016","Cervical Infection of Oncogenic Human Papillomavirus (HPV)
Types in Beijing, China",cross-sectional ,2014,Asia,Eastern Asia,China,Beijing,Both ,Predominantly normal ,LBC,clinical setting,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56,
58, 59, 68",13,III,other PCR,"high-risk HPV genotyping real-time PCR kit
(Shanghai ZJ Bio-Tech Co., Ltd",1928,361,0.187,high,"Figure 3 and P.736 “Age Specific Prevalence of HPV infection” section 
"
56H,"Lin et al., 2008",Genital human papillomavirus screening by gene chip in Chinese women of Guangdong province,cross-sectional ,2006,Asia,Eastern Asia,China,Guangdong,Both,Predominantly normal ,LBC,clinical setting,HR-HPV,"16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68, 6, 11, 41, 42, 44, 53, 66",13,III,PGMY09/11,"DNA extraction
Kits (Chaozhou Hybribio Biotechnology Corp.); HPV DNA was amplified with the L1 consensus
HPV PGMY09/PGMY11 primer set ",179,20,0.112,low,"p.191, ""Distribution of HPV genotypes"" and Figure 4 LR-HPV, HR HPV prevalence"
64OH,"Liu et al., 2014","Human papillomavirus prevalence and type-distribution among women in Zhejiang Province, Southeast China: a cross-sectional study",cross-sectional ,2013,Asia,Eastern Asia,China ,Zhejiang,Both,Predominantly normal ,LBC,clinical setting,"overall, HR-HPV","16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82, 83, 6, 11, 42, 43, 44",18,III,other PCR,"commercial
HPV Genotyping Kit for 23 HPV types (Yaneng
Bioscience (Shenzhen) Co., Ltd, China), including 5 LR
types (6, 11, 42, 43 and 44), and 18 HR types (16, 18,
31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82
and 83). The kit employs DNA amplification to detect
HPV positivity and a microarray format with a nylon
membrane onto which HPV genotype-specific oligonucleotide
probes have been immobilized to simultaneously
identify 23 HPV genotypes.",624,138,0.222,high,"Figure 1, used plot digitizer"
57H,"Liu et al., 2015",Epidemiology and genotype distribution of high risk human papillomavirus in population of hospital opportunistic screening,cross-sectional ,2014,Asia,Eastern Asia,China,Beijing,Both,Predominantly normal ,LBC,clinical setting,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68",13,III,other PCR,"Type-specific HR-HPV analyses were made by diagnostic kit (Shanghai ZJ Bio-tech Co., LTD). Real-Time Ploymerase Chain Reaction (PCR) test was employed.",2084,195,0.094,high,Table 1 for dirsbrituation of HR-HPV+ by age group
66OHGP,"Marais et al., 2008",Cervical human papillomavirus (HPV) infection and HPV type 16 antibodies in South African women,case control ,2006,Africa,Southern Africa,South Africa,Cape Town,Both,Predominantly normal ,conventional,controls,"overall, HR-HPV, 16","16, 18, 26, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82, 6, 11, 40, 42, 54, 55, 57, 83, 84",18,III,other PCR,"reverse
line blot assay (Roche); QIAamp
DNA blood minikit (Qiagen) ",NA,NA,0.14,high,"% prevalence of HR-HPV by age group (50-59) reported in Figure 1, extracted with plot digitizer"
58H,"McHome et al., 2020","HPV types, cervical high-grade
lesions and risk factors for oncogenic human papillomavirus infection among 3416 Tanzanian women",cross-sectional ,2016,Africa,Eastern Africa,Tanzania,"Kilimanjaro, Dar es Salaam",Both,Predominantly normal ,LBC,clinical setting,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",13,III,HC2,"HPV genotyping was done
using the PCR-based
assay INNO-LiPA
HPV Genotyping Extra
(LiPA) (Innogenetics, Ghent, Belgium). Prior to this, DNA were
isolated using a MagnaPure device (Roche Systems, Indianapolis,
IN) for the 200 μL of the remaining denatured products from
the HC2 test",496,54,0.109,low,Table 3 for HR HPV positivity in HIV negative women only by age group
67OHG,"Moore et al., 2009","Prevalence and type distribution of human papillomavirus
in 5,000 British Columbia women—implications for vaccination",cross-sectional ,2004,Americas,North America,Canada,British Columbia,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16,18, 16/18","16, 18, 26, 31, 33, 35, 39, 45, 51, 52,
53, 56, 58, 59, 66, 68, 73, 82, 6, 11, 30, 42, 43, 44, 54, 61, 63, 67, 69, 70, 72, 74 ,81, 83, 84, 87, 89, 90",18,III,GP5+/GP6+,"HPV was detected by PCR analysis using
tagged GP5?/6? consensus primers to amplify the L1
region of HPV; typing was done by bi-directional
sequencing of PCR products",1138,116,0.102,low, study sample by age  in table 4; and plot digitizer on figure 2a for HR-HPV+ by age group 
68OHG,"Mudderis et al., 2019",HPV genotype distribution among women with normal and abnormal cervical cytology in Turkey,retrospective,2015,Asia,Western Asia,Turkiye,NA,Both ,Predominantly normal ,LBC,clinical setting,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59"," 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68, 26, 53, 66, 67, 70, 73, 82, 6, 11, 40, 42, 54, 55",12,II,LA,"High Pure
PCR Template (Roche),  Linear Array HPV Genotyping Test
",73,9,0.122,high,Table 1
59H,"Oh et al., 2001","Significance of high-risk human papillomavirus
detection by polymerase chain reaction in primary cervical cancer screening",cross-sectional ,1996,Asia ,Eastern Asia,South Korea,NA,Both,Predominantly normal ,conventional,screening,HR-HPV,"16, 18, 31, 33",4,I,PCR E6/E7,"Ampli®cation for HPV typing was performed as described by Fujinaga.23 A pair of
oligonucleotide primers speci®c for consensus sequences within the E6 and E7 open
reading frames of HPV-16, -18, -31 and -33.",196,10,0.051,high,Table 1
70OH,"Pista et al., 2011","Prevalence of Human Papillomavirus Infection in Women in Portugal:
The CLEOPATRE Portugal Study",cross-sectional ,2009,Europe,Western Europe,Portugal  ,NA,Both,Predominantly normal ,LBC,clinical setting,"overall, HR-HPV","6, 11, 16, 18, 26, 31, 33, 35, 39, 40,
42, 43, 44, 45, 51, 52, 53, 54, 56, 58, 59, 61, 62, 66, 68, 70, 71, 72, 73, 81, 82, 83, 84, 85, 89",19,III,"PCR L1 or E1
","CLART HPV 2 Assay: This assay amplifies a fragment
of 450 bp in the L1 region",424,16,0.038,low,Table 4 for prevalence by age group and HR-HPV
72OH,"Schmitt et al., 2013",Multiple Human Papillomavirus Infections with High Viral Loads Are Associated with Cervical Lesions but Do Not Differentiate Grades of Cervical Abnormalities,cross-sectional ,2010,Europe,Western Europe,Belgium ,Flanders,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV","16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68, 26, 53, 67, 70, 73, 82, 6, 11, 30, 42, 43, 44, 69, 7, 13, 32, 34, 40, 54, 61, 62, 71, 72, 74, 81, 83, 84, 85, 86, 87, 89, 90, 91, 97, 102, 106, 114, 55, 64",14,III,GP5+/GP6+,"BSGP5 /6 -PCR/MPG assay
comprises the BSGP5 /6 -PCR,  Multiplex PCR kit (Qiagen, Hilden, Germany). ",196,43,0.219,low,Table 1 for  prevalence by age group and HRHPV+
73OH ,"Shakya et al., 2017",Cervical HPV infection among women in Nepal,cross-sectional ,2013,Asia ,Southern Asia,Nepal,Kavre District,Both,Predominantly normal ,conventional,screening,"overall, HR-HPV","6, 11, 16, 18, 26, 31, 33, 35, 39, 40, 42, 43, 44, 45, 51, 52, 53, 54, 56, 58, 59, 61, 66, 68, 69, 70, 73, 82",13,III,other PCR,"Anyplex™II HPV28 Detection real-time multiplex polymerase
chain reaction (PCR) assay",232,14,0.06,low,Table 2 for data on HPV prevalence by age group for both overall and HR-HPV+
74OH,"Sukvirach et al., 2003","Population-Based Human Papillomavirus
Prevalence in Lampang and Songkla, Thailand",cross-sectional ,1998,Asia,Southeastern asia,Thailand,Lampang ,Both ,Predominantly normal ,conventional,clinical setting,"overall, HR-HPV","16, 18, 31, 33, 35, 49, 45, 51, 52, 56, 58, 59, 66, 68, 6, 11, 40, 42, 43, 44, 26, 53, 54, 70, 72, 73",14,III,GP5+/GP6+,"GP5 /6  PCR was repeated on positive
samples in triplicate to generate sufficient products for further
typing. After pooling these PCR products, typing was performed
using EIA and HPV type–specific oligoprobes for the HPV types
listed above",649,20,0.031,low,"Figure 1 for data on hpv prevalence by age group and HR-HPV, using plot digitizer"
75OH,"Sun et al., 2014","Prevalence and genotype distribution of human papillomavirus
infection in Harbin, Northeast China",cross-sectional ,2011,Asia,Eastern Asia,China ,Harbin,Both,Predominantly normal ,LBC,clinical setting,"overall, HR-HPV","16, 18, 31, 33, 35, 39, 45, 51, 52, 53,
56, 58, 59, 66, 68, 81, 6, 11, 42,
43, 44",16,III,other PCR,"hybridization of amplicons
(Hybribio Biotechnology Limited Corp. Chaozhou, China",469,174,0.371,high,Table 1 data by age and HPV+ cases
60HP,"Swangvaree et al., 2010","Prevalence of High-risk Human Papillomavirus Infection and
Cytologic Result in Thailand",cross-sectional ,2010,Asia,Southeastern asia,Thailand,Bangkok,Both,Predominantly normal ,LBC,screening,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68",13,III,HC2,HC2,NA,NA,0.05,low,"Figure 2 Age Distribution of Percent of Positive HPV Infection of Patients, however no age group break down provided to the total subject population. 51-60 =7.04, 61-70= 5.04, 71+= 3.06, so those averaged out = 5.04"
61H,"Tay et al., 2009","The prevalence and significance of high-risk human papillomavirus
DNA test in southern Malaysia and Singapore",retrospective,2006,Asia,Southeastern asia,Malaysia; Singapore,NA,Both ,Predominantly normal ,LBC,clinical setting,Overall,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68",13,1,HC2,"Cervical samples were collected with Digene
cytology brush and preserved in the manufacturer specified
medium and stored at 4°C in a refrigerator. The samples
were analysed for high-risk HPV DNA in batches every two
weeks. Each batch of HPV DNA test included manufacturer’s
positive and negative controls and two samples that were
known to be HPV DNA-positive and -negative from women
in the previous batch of test to assure the consistency of
laboratory standard.",139,33,0.237,low,Table 2 data for HPV+ by age group
62H,"Thapa et al., 2018","Prevalence and type-specific distribution of
human papillomavirus infection among
women in mid-western rural, Nepal- A
population-based study",cross-sectional ,2017,Asia,Southern Asia,Nepal,Jumla,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16/18","6, 11,
16, 18, 31, 33, 35, 39, 42, 43, 44, 45, 51, 52, 53, 56, 58,
59, 66, 68, 81",14,III,PGMY09/11,"presence of HPV DNA was firstly confirmed by
HPV consensus PCR using PGMY09/PGMY11 designed
primers to amplify a fragment of the HPV L1 gene; HPV GenoArray Diagnostic Kit, Hybrobio® Limited",52,8,0.154,low,Table 1 for HR-HPV data by age group
77OH,"Thomas et al., 2004","Prevalence of papillomavirus infection in women in Ibadan, Nigeria: a population-based study",cross-sectional ,2000,Africa,Western Africa,Nigeria,Ibadan,Both ,Predominantly normal ,conventional,clinical setting,"overall, HR-HPV","6, 11, 16, 18, 26, 31, 33, 34, 35, 39, 40, 42, 43, 44, 45, 51,
52, 53, 54, 55, 56, 57, 58, 59, 61, 66, 68, 70, 71, 72, 73, 81, 82, 83, 84",18,III,GP5+/GP6+,"primer-mediated GP5þ/6þ-PCR and by hybridisation of PCR
products in an enzyme immunoassay (EIA) using two HPV
oligoprobe cocktails that together detect the following 36 HPV
types",293,61,0.208,low,Figure 1 HR-HPV prevalence by age group
63HGP,"Ucakar et al., 2012","Pre-vaccination prevalence and distribution of high-risk human papillomavirus
(HPV) types in Slovenian women: A cervical cancer screening based study",cross-sectional ,2010,Europe ,Southern Europe,Slovenia,NA,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18","16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",14,III,LA,"All specimens with RealTime/hc2 concordant positive
results and RealTime/hc2 discordant results were tested using
the Linear Array HPV Genotyping Test",NA,NA,0.046,low,"% prevalence of HR-HPV by age group reported in Figure 1,  however the N for each age group was not provided. Plot digitizer used"
64H,"Ugrakli et al., 2021",Prevalence and Genotype Distribution of High-risk Human Papilloma Virus Types Compared with Cervical Cytology,retrospective,2019,Asia,Western Asia,Turkiye,Konya,Both ,Predominantly normal ,conventional,clinical setting,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",14,III,"other PCR
","Real-Time Quant Kits (Nuclear Laser Medicine
S.r.l., Milano, Italy) for detection and genotyping of HPV types
(HPV16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, and 68) on the Rotor-Gene Q 5plex HRM instrument (Qiagen, Hilden, Germany).",145,57,0.393,high,Table 1 for HR-HPV data by age group 
65HG,"Wright et al., 2012","The ATHENA human papillomavirus study: design, methods, and baseline results",cross-sectional ,2009,Americas,North America,USA,NA,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18","16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",14,III,Cobas,cobas 4800 for all baseline,10581,639,0.06,low,Table 3 for HR-HPV data by age group 
81OH,"Wu et al., 2013","Prevalence of type-specific human papillomavirus and pap results in Chinese women: a multi-center, population-based cross-sectional study",cross-sectional ,2007,Asia ,Eastern Asia,China ,NA,Both,Predominantly normal ,LBC,screening ,"overall, HR-HPV","16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68, 6, 11, 42, 43, 44",13,III,LA,"All cervical specimens from women with positive HC2
(HR and/or LR HPV) results underwent HPV genotyping
by Linear Array ",614,61,0.1,low,"Figure 2 for age specific prevalence of HPV by overall HPV+, HR-HPV+ "
82OH,"Xue et al., 2015","Prevalence and Genotype Distribution of Human Papillomavirus Infection in Asymptomatic Women in Liaoning Province, China",cross-sectional ,2013,Asia ,Eastern Asia,China ,Liaoning,Both,Predominantly normal ,LBC,clinical setting,"overall, HR-HPV","16, 18, 31, 33, 35, 39, 45, 51,
52, 53, 56, 58, 59, 66, 68, 6, 11, 42, 43, 44",15,III,MY09/11,"HPV GenoArray
test kit uses MY09/11 primers to amplify a 450 bp
region of the L1 gene",1128,121,0.107,high,Table 3 for HR-HPV data by age group 
66H,"Yao et al., 2018","Analysis of cervical human papillomavirus
infection in 2300 women in Urumqi, China",prospective,2016,Asia ,Eastern Asia,China ,Urumqi,Both,Predominantly normal ,LBC,general population,HR-HPV,"16,18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68",13,III,HC2,HC2,296,49,0.166,low,Table 3 for HR-HPV data by age group 
83OHG,"Yip et al., 2010",Prevalence and Genotype Distribution of Cervical Human Papillomavirus Infection in Macao,cross-sectional ,2008,Asia ,Eastern Asia,China ,Macao,Both ,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18","6, 11, 16, 18,
26, 31, 33, 35, 39, 40, 42, 43, 44, 45, 51, 52, 53, 54, 55, 56,
57, 58, 59, 66, 67, 68, 69, 73, 82",18,III,PGMY09/11,"HPV DNA was
detected by a single-round polymerase chain reaction
(PCR) using PGMY09/11 primers. Samples that were positive for HPV DNA were
re-amplified and typed using the SNIPER1 HPV
Genotyping Diagnosis Kit",400,41,0.102,low,"Figure 1 for overall and HR-HPV+, 16, 18 type by age group extracted with plotdigitizer"
67H,"Zejnullahu et al., 2018",Pre-vaccination prevalence of high-risk human papillomaviruses (HPV) in women from Kosovo and their related sociodemographic characteristics,cross-sectional ,2016,Europe,Southern Europe,Kosovo,NA,Both,Predominantly normal ,conventional,clinical setting,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59,
66, 68",14,III,GP5+/GP6+,"RealTime high risk HPV test, LA HPV genotyping test",43,3,0.07,low,"Data obtained from text in paper under ""Association between sociodemographic characteristics and HPV infection"""
84OH,"Zhao et al., 2009","Human papillomavirus infection in Beijing, People’s Republic of China: a population-based study",cross-sectional ,2008,Asia ,Eastern Asia,China ,Beijing,Both,Predominantly normal ,LBC,general population,"overall, HR-HPV","16, 58, 33, 56, 35, 18, 68, 31, 59, 51, 39, 45, 73, 52, 43, 66, 42, 53, 11, 83, 6",15,III,MY09/11,Subtypes investigated by reverse dot blot hybridisation of the PCR product,573,22,0.038,low,Data extrapolated from Figure 1 for HR-HPV data by age group using plot digitizer
85OHG,"Zhu et al., 2021","Prevalence and genotype distribution of human papillomavirus infection in Huzhou City, eastern China, 2018–2019",retrospective,2019,Asia ,Eastern Asia,China ,Huzhou,Both,Predominantly normal ,LBC,clinical setting,"overall, HR-HPV, 16, 52, 53, 58, 81","6, 11, 16, 18, 31, 33, 35, 39, 42, 43, 44, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82",17,III,Cobas,"HPV Genotyping Real-Time PCR kit (Chaozhou Hybribio Biotechnology, Chaozhou, China), PCR instrument
(Cobas z480, Roche, Basel, Switzerland)",745,155,0.208,low,Table 3 for overall  and HR-HPV prevalence by age group
86OH,"Zoa Assoumou et al., 2016",Human papillomavirus genotypes distribution among Gabonese women with normal cytology and cervical abnormalities,cross-sectional ,2012,Africa ,Middle Africa ,Gabon,Libreville,Both,Predominantly normal ,conventional ,clinical setting,"overall, HR-HPV","6, 16, 18, 31, 33, 35, 45, 56, 66, 70, 81",9,II,MY09/11 and GP5+/GP6+,"HPV detection and typing was carried out by nested
PCR using the L1 consensus primers MY09/11 and
GP5+/6+ [49] and DNA direct sequencing [50].",42,26,0.612,low,"Figure 1 for data on hpv prevalence by age group and HR-HPV, using plot digitizer"
68H,"Untiet et al., 2014",HPV self-sampling as primary screening test in sub-Saharan Africa: Implication for a triaging strategy,cross-sectional ,2012,Africa ,Middle Africa ,Cameroon,Yaoundé,Both,Predominantly normal ,LBC,screening,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",14,III,other PCR,"Abbott RealTime High Risk HPV assay (Abbott
Laboratories, Abbott Park, IL)",208,28,0.135,low,Table 1 for HRHPV+ prevalence by age group
87OH,"Giorgi Rossi et al., 2010",Prevalence of HPV high and low risk types in cervical samples from the Italian general population: a population based study,cross-sectional ,2007,Europe,Southern Europe,Italy,NA,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV","6, 11, 16, 18, 26, 31, 33, 35, 39, 40, 42, 43, 44, 45, 51, 52, 53, 54, 56, 58, 59, 66, 68, 70, 73, 81, 82",18,III,GP5+/GP6+,"GP5+/GP6+ primed PCR, HC2
",516,15,0.029,low,Table 3 Distribution of HPV positivity and types by age
88OH,"Giuliano et al., 2005",Human papillomavirus prevalence at the USA-Mexico border among women 40 years of age and over,cross-sectional ,2000,Americas,North America,USA,Arizona-Mexico Border,Both,Predominantly normal ,LBC,general population,"overall, HR-HPV","6, 11, 26, 40, 42,
53, 54, 55, 57, 66, 73, 82, 83, 84, 16, 18, 31,
33, 35, 39, 45, 51, 52, 56, 58, 59, 68",13,III,PGMY09/11,"Specimens
were tested for the presence of HPV using
the PGMY09/11 L1 consensus primer system and reverse line blot method",149,6,0.04,low,Figure 1 for HRHPV+ by age group
69H,"Alfonsi et al., 2011","Prevalence of High-Risk HPV Types and
Abnormal Cervical Cytology in American
Indian/Alaska Native Women, 2003–2005",cross-sectional ,2005,Americas,North America,USA,NA,Both,Predominantly normal ,LBC and conventional,screening,HR-HPV,"16, 18, 26, 31, 33,
35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 67, 68, 69, 70, 73,
82",22,III,HC2,"HPV detection
and typing based on L1 consensus polymerase
chain reaction (PCR) and the prototype Roche line blot
assay (reagents provided by Roche Molecular Systems,
Alameda, California).",563,30,0.053,low,Table 1 for HR-HPV prevalence by age group
90OH,"Jin et al., 2010","Age-specific prevalence of human papillomavirus by grade of
cervical cytology in Tibetan women",cross-sectional ,2007,Asia,Eastern Asia,China,Tibet,Both,Predominantly normal ,LBC,general population,"overall, HR-HPV","6, 11, 16, 18, 31, 33, 35, 39, 42, 43, 44, 45, 51, 52, 53, 56, 58, 59, 66",14,III,other PCR,"HPV GenoArray Test Kit (HyBribio Limited，Hong Kong, China). HybriBio’s proprietary flowthrough hybridization
technique was used to detect 21 HPV genotypes",243,16,0.066,low,Table 2 for overall and HR-HPV+ by age group
70HGP,"Lu et al., 2015","Distribution of High-Risk Human Papillomavirus Genotypes in HPV-Infected Women in Beijing, China",retrospective,2013,Asia,Eastern Asia,China,Beijing,Both,Predominantly normal ,NA,clinical setting,"HR-HPV, 16","16, 18,
31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68",13,III,other PCR,"highrisk
HPV genotyping real time PCR kit (Liferiver,
Shanghai, China)",NA,NA,0.073,high,"% prevalence of HR-HPV by age group reported in Figure 1,  however the N for each age group was not provided. Plot digitizer used"
71HG,"Stoler et al., 2018","The Onclarity Human Papillomavirus Trial: Design, methods, and
baseline results",prospective,2018,Americas ,North America,USA,NA,Both ,Predominantly normal ,LBC,screening ,"Overall, 16, 18, 31, 45, 33/58, 35/39/68, 51, 52, 56/59/66","16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",14,III,"Mulitple
","The PreservCyt samplewas used for Onclarity
HPV and the digene® Hybrid Capture 2 (HC2) (Qiagen, Gaithersburg,
MD) assays.",7252,503,0.069,low,"Table 3 for HPV data breakdown by age, using onclarity results"
72HP,"Dursun et al., 2013","HPV Types in Turkey: Multicenter Hospital Based
Evaluation of 6388 Patients in Turkish Gynecologic
Oncology Group Centers",retrospective,2010,Asia,Western Asia,Turkiye,NA,Both,Predominantly normal ,LBC,clinical setting,"overall, HR-HPV, 16, 6, 11, 18, 31, 51, 33, 53, 52, 45, 66, 35, 68, 39, 50, 56, 30, 70, 54, 17, 42, 58, 59, 44, 16, 18, 26, 40, 82, 32
31, 33, 45, 52, 58, 34, 43, 90, 5, 8, 61, 67, 81, 95","16, 6, 11, 18, 31, 51, 33, 53, 52, 45, 66, 35, 68, 39, 50, 56, 30, 70, 54, 17, 42, 58, 59, 44, 16, 18, 26, 40, 82, 32
31, 33, 45, 52, 58, 34, 43, 90, 5, 8, 61, 67, 81, 95",13,III,GP5+/GP6+,HC2 for HPV DNA detection and genotyping LI gene was amplified using GP5 and GP6 primers,NA,NA,0.1829,low,% prevalence of HR-HPV by age group reported in Figure 1 for HR  however the N for each age group was not provided